id,path,title,size_bytes,modified_at,word_count,tags,links_out,folder,has_frontmatter
1,欢迎.md,欢迎,221,2026-05-30T16:58:02,3,[],1,,0
2,Claude Code 连接测试.md,Claude Code 连接测试,533,2026-05-30T16:57:20,62,[],0,,0
3,验证测试.md,系统验证测试,185,2026-05-30T17:04:10,17,[],0,,0
4,Claude Code 知识库测试.md,Claude Code 知识库测试,591,2026-05-30T17:06:00,63,[],0,,0
5,Claude Code + Obsidian 使用指南.md,Claude Code + Obsidian 集成指南,977,2026-05-30T17:07:04,86,[],0,,0
6,用户档案.md,用户信息档案,629,2026-05-30T17:07:10,79,[],0,,0
7,MCP 技术笔记.md,MCP (Model Context Protocol) 技术笔记,1836,2026-05-30T17:07:18,201,[],0,,0
8,DeepSeek 使用指南.md,DeepSeek 助手使用指南,947,2026-05-30T18:43:28,87,[],0,,0
9,DS_test.md,DS_test,44,2026-05-30T19:09:34,4,[],0,,0
10,DeepSeek_API_Test.md,DeepSeek_API_Test,1152,2026-05-31T11:19:06,36,[],0,,0
11,DS_2026-05-30_19-18-14.md,DS_2026-05-30_19-18-14,154,2026-05-30T19:18:18,5,[],0,,0
12,Claude_Code_自主测试.md,Claude Code 自主创建测试,478,2026-05-31T09:51:28,63,[],0,,0
13,GLM_20260531_1113.md,AI 生成记录,4096,2026-05-31T11:13:16,154,[],0,,0
14,GLM_20260531_1117.md,AI 生成记录,207,2026-05-31T11:17:28,14,[],0,,0
15,GLM_20260531_1118.md,AI 生成记录,267,2026-05-31T11:18:42,14,[],0,,0
16,GLM_20260531_1119.md,AI 生成记录,1004,2026-05-31T11:19:04,33,[],0,,0
17,2026-05-30.md,2026-05-30,0,2026-05-31T18:45:03.860000,0,[],0,,0
18,2026-06-01.md,2026-06-01,0,2026-06-01T22:08:06.440000,0,[],0,,0
19,AGENTS.md,AGENTS.md - Obsidian Vault AI Agent Convention,2793,2026-06-16T09:49:46,291,[],1,,0
20,Codex + Obsidian 使用指南.md,Codex CLI + Obsidian 集成指南,2417,2026-06-16T09:45:50,254,[],0,,0
21,AI直播平台/开发进度.md,P0优先级 - 单元测试完成清单,4667,2026-05-30T17:08:18,441,[],0,AI直播平台,0
22,AI直播平台/00-SaaS架构总览.md,00-SaaS架构总览,9663,2026-06-06T21:35:58,847,"[""SaaS"", ""AI直播"", ""数字人"", ""架构"", ""规划""]",6,AI直播平台,1
23,AI直播平台/01-肖像确权技术方案.md,01-肖像确权技术方案,7289,2026-06-06T21:37:50,668,"[""肖像确权"", ""防AI"", ""SaaS"", ""技术方案""]",0,AI直播平台,1
24,AI直播平台/02-数字人工坊产品需求.md,02-数字人工坊产品需求,6294,2026-06-06T21:37:50,701,"[""数字人"", ""ComfyUI"", ""CosyVoice"", ""PRD"", ""SaaS""]",0,AI直播平台,1
25,AI直播平台/03-直播中控台设计.md,03-直播中控台设计,8897,2026-06-06T21:39:56,804,"[""直播"", ""中控台"", ""抖音"", ""快手"", ""小红书"", ""视频号"", ""TikTok""]",0,AI直播平台,1
26,AI直播平台/04-运营后台PRD.md,04-运营后台PRD,7687,2026-06-06T21:39:56,813,"[""运营后台"", ""合规"", ""网信办"", ""备案"", ""管理后台""]",0,AI直播平台,1
27,AI直播平台/05-安全合规清单.md,05-安全合规清单,9281,2026-06-06T21:42:22,1355,"[""安全"", ""合规"", ""加密"", ""审计"", ""渗透测试""]",0,AI直播平台,1
28,AI直播平台/06-下一步行动.md,06-下一步行动,4693,2026-06-06T21:42:22,682,"[""todo"", ""行动"", ""实施""]",0,AI直播平台,1
29,Wiki/_index.md,Claude Code 与 Obsidian 集成,441,2026-05-31T17:56:44,37,[],2,Wiki,0
30,Projects/_index.md,_index,944,2026-05-31T10:02:26,97,"[""project"", ""index""]",5,Projects,1
